Player Number, Player Name, Games Played, Points Played, Earned/Game, Errors/Game, Faults/Game, Total/Game, Plus/Minus Total, Plus/Minus Net Total, Total Earned, Total Errors, Total Faults, Total Earned (them), Total Errors (them), Total Faults (them), 
1, Lasse Nielsen, 4, 203, 2.3, 1.0, 0.0, 1.3, 5, 5, 9, 4, 0, 0, 0, 0, 
3, Kristian Krag, 4, 21, 1.3, 0.0, 0.3, 1.5, 6, 6, 7, 0, 1, 0, 0, 0, 
6, Boerme, 3, 54, 1.3, 2.3, 0.0, -1.0, -3, -3, 4, 7, 0, 0, 0, 0, 
7, Bo, 2, 26, 2.0, 0.5, 0.0, 2.0, 4, 4, 5, 1, 0, 0, 0, 0, 
13, Gustav, 3, 29, 2.7, 0.7, 0.0, 4.0, 12, 12, 14, 2, 0, 0, 0, 0, 
15, Martin, 4, 42, 4.0, 1.0, 0.0, 3.0, 12, 12, 16, 4, 0, 0, 0, 0, 
16, Alex, 4, 35, 0.0, 0.8, 0.0, -0.8, -3, -3, 0, 3, 0, 0, 0, 0, 
17, Hjorth, 3, 34, 3.3, 1.7, 0.0, 1.7, 5, 5, 10, 5, 0, 0, 0, 0, 
18, Anton, 4, 89, 3.5, 2.8, 0.0, 0.8, 3, 3, 14, 11, 0, 0, 0, 0, 
19, Malthe, 2, 15, 1.0, 0.5, 0.5, 0.0, 0, 0, 2, 1, 1, 0, 0, 0, 
20, Jonas, 4, 16, 0.3, 0.3, 0.0, 0.0, 0, 0, 1, 1, 0, 0, 0, 0, 
undefined, (team), 4, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 
Total, , , , 18.3, 9.8, 0.5, 8.0, 32, 32, 73, 39, 2, 0, 0, 0, 

Player Number, Player Name, Games Played, Points Played, Serve Attempts, Serve %, Serve Rating, 1-Serve, 2-Serve, 3-Serve, Aces, Serve Errors, Points Lost on Serve, Points Won on Serve, Serve Net Points, Point Scoring %, Serve Error %, Ace %, Aces/Game, Serve Attempts/Game, Serve Errors/Game, Serve Net Points/Game, Errors: Out, Errors: Into Net, 
1, Lasse Nielsen, 4, 203, 19, 84.2%, 1.47, 10, 1, 4, 1, 3, 9, 10, -2, 52.6%, 15.8%, 5.3%, 0.3, 4.8, 0.8, -0.5, 2, 1, 
3, Kristian Krag, 4, 21, 3, 100.0%, 2.33, 0, 2, 1, 0, 0, 3, 0, 0, 0.0%, 0.0%, 0.0%, 0.0, 0.8, 0.0, 0.0, 0, 0, 
6, Boerme, 3, 54, 14, 71.4%, 1.14, 5, 4, 1, 0, 4, 6, 8, -4, 57.1%, 28.6%, 0.0%, 0.0, 4.7, 1.3, -1.3, 2, 2, 
7, Bo, 2, 26, 13, 100.0%, 2.69, 1, 5, 4, 3, 0, 4, 9, 3, 69.2%, 0.0%, 23.1%, 1.5, 6.5, 0.0, 1.5, 0, 0, 
13, Gustav, 3, 29, 6, 83.3%, 1.83, 1, 2, 2, 0, 1, 5, 1, -1, 16.7%, 16.7%, 0.0%, 0.0, 2.0, 0.3, -0.3, 0, 1, 
15, Martin, 4, 42, 5, 60.0%, 1.40, 1, 0, 2, 0, 2, 4, 1, -2, 20.0%, 40.0%, 0.0%, 0.0, 1.3, 0.5, -0.5, 2, 0, 
16, Alex, 4, 35, 0, -, -, 0, 0, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 0.0, 0.0, 0.0, 0, 0, 
17, Hjorth, 3, 34, 5, 60.0%, 1.60, 0, 1, 2, 0, 2, 3, 2, -2, 40.0%, 40.0%, 0.0%, 0.0, 1.7, 0.7, -0.7, 0, 2, 
18, Anton, 4, 89, 19, 89.5%, 2.05, 3, 7, 6, 1, 2, 9, 10, -1, 52.6%, 10.5%, 5.3%, 0.3, 4.8, 0.5, -0.3, 2, 0, 
19, Malthe, 2, 15, 4, 100.0%, 1.25, 3, 1, 0, 0, 0, 2, 2, 0, 50.0%, 0.0%, 0.0%, 0.0, 2.0, 0.0, 0.0, 0, 0, 
20, Jonas, 4, 16, 8, 87.5%, 1.75, 3, 2, 1, 1, 1, 4, 4, 0, 50.0%, 12.5%, 12.5%, 0.3, 2.0, 0.3, 0.0, 1, 0, 
undefined, (team), 4, 0, 0, -, -, 0, 0, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 0.0, 0.0, 0.0, 0, 0, 
Total, , , , 96, 84.4%, 1.77, 27, 25, 23, 6, 15, 49, 47, -9, 49.0%, 15.6%, 6.3%, 1.5, 24.0, 3.8, -2.3, 9, 6, 

Player Number, Player Name, Games Played, Points Played, Got Aced/Game, Passes/Game, Perfect Passes/Game, Pass Rating, Total Pass Error %, 3-pass Percent, Pass Attempts, 1-pass, 2-pass, 3-pass, Over the Net Pass, Got Aced, Total Pass Errors, First Ball Side Out %, 
1, Lasse Nielsen, 4, 203, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, 0.0%, 
3, Kristian Krag, 4, 21, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, 0.0%, 
6, Boerme, 3, 54, 0.3, 5.3, 1.7, 1.71, 5.9%, 29.4%, 17, 5, 4, 5, 2, 1, 1, 56.3%, 
7, Bo, 2, 26, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
13, Gustav, 3, 29, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
15, Martin, 4, 42, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, 0.0%, 
16, Alex, 4, 35, 0.8, 4.5, 0.8, 1.43, 14.3%, 14.3%, 21, 6, 7, 3, 2, 3, 3, 27.3%, 
17, Hjorth, 3, 34, 0.0, 1.3, 0.0, 1.75, 0.0%, 0.0%, 4, 1, 3, 0, 0, 0, 0, 50.0%, 
18, Anton, 4, 89, 0.3, 5.5, 2.8, 2.17, 4.3%, 47.8%, 23, 2, 7, 11, 2, 1, 1, 45.8%, 
19, Malthe, 2, 15, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, 0.0%, 
20, Jonas, 4, 16, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
undefined, (team), 4, 0, 0.3, 0.0, 0.0, 0.00, 100.0%, 0.0%, 1, 0, 0, 0, 0, 1, 1, -, 
Total, , , , 1.5, 15.0, 4.8, 1.76, 9.1%, 28.8%, 66, 14, 21, 19, 6, 6, 6, 38.2%, 

Player Number, Player Name, Games Played, Points Played, Kills/Game, Attack Errors/Game, Attack Net Points/Game, Hitting Efficiency, Kill %, Attack Error %, Attack Attempts, Attack Errors, Kills, Errors: Out, Errors: Blocked, Errors: Into Net, 
1, Lasse Nielsen, 4, 203, 1.0, 0.3, 0.8, 0.333, 44.4%, 11.1%, 9, 1, 4, 1, 0, 0, 
3, Kristian Krag, 4, 21, 0.8, 0.0, 0.8, 0.429, 42.9%, 0.0%, 7, 0, 3, 0, 0, 0, 
6, Boerme, 3, 54, 1.3, 0.7, 0.7, 0.200, 40.0%, 20.0%, 10, 2, 4, 0, 1, 1, 
7, Bo, 2, 26, 0.5, 0.5, 0.0, 0.000, 50.0%, 50.0%, 2, 1, 1, 0, 0, 1, 
13, Gustav, 3, 29, 2.7, 0.3, 2.3, 0.636, 72.7%, 9.1%, 11, 1, 8, 0, 0, 1, 
15, Martin, 4, 42, 2.8, 0.5, 2.3, 0.409, 50.0%, 9.1%, 22, 2, 11, 0, 1, 1, 
16, Alex, 4, 35, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 
17, Hjorth, 3, 34, 2.3, 0.7, 1.7, 0.417, 58.3%, 16.7%, 12, 2, 7, 1, 1, 0, 
18, Anton, 4, 89, 3.0, 2.0, 1.0, 0.108, 32.4%, 21.6%, 37, 8, 12, 2, 4, 2, 
19, Malthe, 2, 15, 0.5, 0.5, 0.0, 0.000, 25.0%, 25.0%, 4, 1, 1, 1, 0, 0, 
20, Jonas, 4, 16, 0.0, 0.0, 0.0, 0.000, 0.0%, 0.0%, 2, 0, 0, 0, 0, 0, 
undefined, (team), 4, 0, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 
Total, , , , 12.8, 4.5, 8.3, 0.284, 44.0%, 15.5%, 116, 18, 51, 5, 7, 6, 

Player Number, Player Name, Games Played, Points Played, Dig Errors/Game, Dig Attempts/Game, Digs/Game, Digs, Dig Attempts, Dig Errors, Dig Error %, Dig %, Kill to Dig %, Attack Attempt to Dig %, 
1, Lasse Nielsen, 4, 203, 0.0, 1.8, 1.8, 7, 7, 0, 0.0%, 100.0%, 71.4%, 100.0%, 
3, Kristian Krag, 4, 21, 0.0, 0.0, 0.0, 0, 0, 0, -, -, -, -, 
6, Boerme, 3, 54, 0.0, 1.7, 1.7, 5, 5, 0, 0.0%, 100.0%, 0.0%, 100.0%, 
7, Bo, 2, 26, 0.0, 0.0, 0.0, 0, 0, 0, -, -, -, -, 
13, Gustav, 3, 29, 0.0, 0.0, 0.0, 0, 0, 0, -, -, -, -, 
15, Martin, 4, 42, 0.0, 1.3, 1.3, 5, 5, 0, 0.0%, 100.0%, 20.0%, 80.0%, 
16, Alex, 4, 35, 0.0, 2.8, 2.8, 11, 11, 0, 0.0%, 100.0%, 27.3%, 81.8%, 
17, Hjorth, 3, 34, 0.0, 2.7, 2.7, 8, 8, 0, 0.0%, 100.0%, 12.5%, 87.5%, 
18, Anton, 4, 89, 0.0, 0.3, 0.3, 1, 1, 0, 0.0%, 100.0%, 0.0%, 100.0%, 
19, Malthe, 2, 15, 0.0, 0.5, 0.5, 1, 1, 0, 0.0%, 100.0%, 0.0%, 100.0%, 
20, Jonas, 4, 16, 0.0, 0.0, 0.0, 0, 0, 0, -, -, -, -, 
undefined, (team), 4, 0, 0.0, 0.0, 0.0, 0, 0, 0, -, -, -, -, 
Total, , , , 0.0, 9.5, 9.5, 38, 38, 0, 0.0%, 100.0%, 26.3%, 89.5%, 

Player Number, Player Name, Games Played, Points Played, Block Errors/Game, Blocks Still in Play/Game, Blocks/Game, Block Assists, Block Errors, Block Solos, Blocks Still in Play, Blocks, Net Blocks, Block %, Block Error %, 
1, Lasse Nielsen, 4, 203, 0.0, 0.3, 1.0, 2, 0, 2, 1, 4, 4, 80.0%, 0.0%, 
3, Kristian Krag, 4, 21, 0.0, 0.0, 1.0, 2, 0, 2, 0, 4, 4, 100.0%, 0.0%, 
6, Boerme, 3, 54, 0.0, 0.3, 0.0, 0, 0, 0, 1, 0, 0, 0.0%, 0.0%, 
7, Bo, 2, 26, 0.0, 0.0, 0.5, 1, 0, 0, 0, 1, 1, 100.0%, 0.0%, 
13, Gustav, 3, 29, 0.0, 0.0, 2.0, 6, 0, 0, 0, 6, 6, 100.0%, 0.0%, 
15, Martin, 4, 42, 0.0, 0.3, 1.3, 4, 0, 1, 1, 5, 5, 83.3%, 0.0%, 
16, Alex, 4, 35, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, -, -, 
17, Hjorth, 3, 34, 0.0, 0.3, 1.0, 2, 0, 1, 1, 3, 3, 75.0%, 0.0%, 
18, Anton, 4, 89, 0.0, 1.0, 0.3, 0, 0, 1, 4, 1, 1, 20.0%, 0.0%, 
19, Malthe, 2, 15, 0.0, 0.5, 0.5, 1, 0, 0, 1, 1, 1, 50.0%, 0.0%, 
20, Jonas, 4, 16, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, -, -, 
undefined, (team), 4, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, -, -, 
Total, , , , 0.0, 2.3, 4.0, 18, 0, 7, 9, 16, 16, 73.5%, 0.0%, 

Player Number, Player Name, Games Played, Points Played, Games Played as Non-setter, Games Played as Setter, Assists, Ball Handling, Setting Errors, Assists as Non-setter, Assists as Non-setter/Game, Assists as Setter, Assists as Setter/Game, Assists/Game, Attempt (From Setter), Attempt (Not From Setter), 
1, Lasse Nielsen, 4, 203, 0, 4, 34, 0, 0, 0, -, 34, 8.5, 8.5, 0, 4, 
3, Kristian Krag, 4, 21, 4, 0, 1, 0, 0, 1, 0.3, 0, -, 0.3, 2, 2, 
6, Boerme, 3, 54, 3, 0, 2, 0, 0, 2, 0.7, 0, -, 0.7, 2, 2, 
7, Bo, 2, 26, 2, 0, 1, 0, 0, 1, 0.5, 0, -, 0.5, 0, 0, 
13, Gustav, 3, 29, 3, 0, 0, 0, 0, 0, -, 0, -, 0.0, 1, 1, 
15, Martin, 4, 42, 4, 0, 1, 0, 0, 1, 0.3, 0, -, 0.3, 6, 3, 
16, Alex, 4, 35, 4, 0, 5, 0, 0, 5, 1.3, 0, -, 1.3, 0, 0, 
17, Hjorth, 3, 34, 3, 0, 1, 0, 1, 1, 0.3, 0, -, 0.3, 2, 1, 
18, Anton, 4, 89, 4, 0, 1, 0, 0, 1, 0.3, 0, -, 0.3, 11, 6, 
19, Malthe, 2, 15, 2, 0, 0, 0, 0, 0, -, 0, -, 0.0, 0, 2, 
20, Jonas, 4, 16, 4, 0, 0, 0, 0, 0, -, 0, -, 0.0, 2, 0, 
undefined, (team), 4, 0, 4, 0, 0, 0, 0, 0, -, 0, -, 0.0, 0, 0, 
Total, , , , 4, 0, 46, 0, 1, 12, 3.0, 34, -, 11.5, 26, 21, 

Player Number, Player Name, Games Played, Points Played, 1-Set (In-System), 2-Set (In-System), 3-Set (In-System), 1-Set (Out-System), 2-Set (Out-System), 3-Set (Out-System), 
1, Lasse Nielsen, 4, 203, 0, 0, 0, 0, 0, 0, 
3, Kristian Krag, 4, 21, 0, 0, 0, 0, 0, 0, 
6, Boerme, 3, 54, 0, 0, 0, 0, 0, 0, 
7, Bo, 2, 26, 0, 0, 0, 0, 0, 0, 
13, Gustav, 3, 29, 0, 0, 0, 0, 0, 0, 
15, Martin, 4, 42, 0, 0, 0, 0, 0, 0, 
16, Alex, 4, 35, 0, 0, 0, 0, 0, 0, 
17, Hjorth, 3, 34, 0, 0, 0, 0, 0, 0, 
18, Anton, 4, 89, 0, 0, 0, 0, 0, 0, 
19, Malthe, 2, 15, 0, 0, 0, 0, 0, 0, 
20, Jonas, 4, 16, 0, 0, 0, 0, 0, 0, 
undefined, (team), 4, 0, 0, 0, 0, 0, 0, 0, 
Total, , , , 0, 0, 0, 0, 0, 0, 

Player Number, Player Name, Games Played, Points Played, FB Pass Attempts, Over the Net FB Pass, 1-FB Pass, 2-FB Pass, 3-FB Pass, Total FBPass Errors, FB Pass Rating, 3-FB Pass Percent, Total FBPass Error %, Total FBPass Errors/Game, 
1, Lasse Nielsen, 4, 203, 2, 0, 1, 0, 1, 0, 2.00, 50.0%, 0.0%, 0.0, 
3, Kristian Krag, 4, 21, 2, 0, 0, 1, 1, 0, 2.50, 50.0%, 0.0%, 0.0, 
6, Boerme, 3, 54, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 
7, Bo, 2, 26, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 
13, Gustav, 3, 29, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 
15, Martin, 4, 42, 3, 0, 0, 1, 2, 0, 2.67, 66.7%, 0.0%, 0.0, 
16, Alex, 4, 35, 4, 0, 0, 1, 3, 0, 2.75, 75.0%, 0.0%, 0.0, 
17, Hjorth, 3, 34, 2, 0, 0, 1, 1, 0, 2.50, 50.0%, 0.0%, 0.0, 
18, Anton, 4, 89, 2, 0, 0, 0, 2, 0, 3.00, 100.0%, 0.0%, 0.0, 
19, Malthe, 2, 15, 1, 0, 0, 1, 0, 0, 2.00, 0.0%, 0.0%, 0.0, 
20, Jonas, 4, 16, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 
undefined, (team), 4, 0, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 
Total, , , , 16, 0, 1, 5, 10, 0, 2.56, 62.5%, 0.0%, 0.0, 

Player Number, Player Name, Games Played, Points Played, In Play, Errors, 
1, Lasse Nielsen, 4, 203, 0, 0, 
3, Kristian Krag, 4, 21, 0, 0, 
6, Boerme, 3, 54, 0, 0, 
7, Bo, 2, 26, 0, 0, 
13, Gustav, 3, 29, 0, 0, 
15, Martin, 4, 42, 0, 0, 
16, Alex, 4, 35, 0, 0, 
17, Hjorth, 3, 34, 0, 0, 
18, Anton, 4, 89, 0, 0, 
19, Malthe, 2, 15, 0, 0, 
20, Jonas, 4, 16, 0, 0, 
undefined, (team), 4, 0, 0, 0, 
Total, , , , 0, 0, 

Player Number, Player Name, Games Played, Points Played, Aces, Spike, Blocks, Block Assists, Block Solos, Down Ball Hit, Dump, Tip, 
1, Lasse Nielsen, 4, 203, 1, 0, 4, 2, 2, 0, 4, 0, 
3, Kristian Krag, 4, 21, 0, 3, 4, 2, 2, 0, 0, 0, 
6, Boerme, 3, 54, 0, 4, 0, 0, 0, 0, 0, 0, 
7, Bo, 2, 26, 3, 1, 1, 1, 0, 0, 0, 0, 
13, Gustav, 3, 29, 0, 8, 6, 6, 0, 0, 0, 0, 
