Player Number, Player Name, Games Played, Points Played, Earned/Game, Errors/Game, Faults/Game, Total/Game, Plus/Minus Total, Plus/Minus Net Total, Total Earned, Total Errors, Total Faults, Total Earned (them), Total Errors (them), Total Faults (them), 
1, Lasse Nielsen, 5, 243, 1.8, 1.0, 0.0, 1.0, 5, 5, 10, 5, 0, 0, 0, 0, 
3, Kristian Krag, 4, 29, 0.5, 1.0, 0.0, -0.5, -2, -2, 2, 4, 0, 0, 0, 0, 
5, Bosse, 3, 11, 0.7, 0.3, 0.0, 0.3, 1, 1, 2, 1, 0, 0, 0, 0, 
6, Boerme, 4, 55, 2.8, 3.3, 0.0, -0.5, -2, -2, 11, 13, 0, 0, 0, 0, 
7, Bo, 4, 15, 0.0, 0.5, 0.0, -0.3, -1, -1, 1, 2, 0, 0, 0, 0, 
9, Soeren, 5, 72, 4.2, 2.4, 0.0, 2.2, 11, 11, 23, 12, 0, 0, 0, 0, 
11, Nicola, 5, 93, 3.6, 2.6, 0.0, 1.2, 6, 6, 19, 13, 0, 0, 0, 0, 
12, Vestbjerg, 3, 33, 0.3, 4.0, 0.0, -3.7, -11, -11, 1, 12, 0, 0, 0, 0, 
13, Gustav, 5, 66, 2.6, 0.8, 0.0, 2.8, 14, 14, 18, 4, 0, 0, 0, 0, 
16, Alex, 5, 38, 0.0, 1.0, 0.0, -1.0, -5, -5, 0, 5, 0, 0, 0, 0, 
undefined, (team), 5, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 
Total, , , , 15.4, 14.2, 0.0, 1.2, 6, 6, 77, 71, 0, 0, 0, 0, 

Player Number, Player Name, Games Played, Points Played, Serve Attempts, Serve %, Serve Rating, 1-Serve, 2-Serve, 3-Serve, Aces, Serve Errors, Points Lost on Serve, Points Won on Serve, Serve Net Points, Point Scoring %, Serve Error %, Ace %, Aces/Game, Serve Attempts/Game, Serve Errors/Game, Serve Net Points/Game, Errors: Out, Errors: Into Net, 
1, Lasse Nielsen, 5, 243, 27, 92.6%, 1.89, 8, 10, 5, 2, 2, 12, 15, 0, 55.6%, 7.4%, 7.4%, 0.4, 5.4, 0.4, 0.0, 0, 2, 
3, Kristian Krag, 4, 29, 10, 90.0%, 1.90, 1, 7, 0, 1, 1, 5, 5, 0, 50.0%, 10.0%, 10.0%, 0.3, 2.5, 0.3, 0.0, 1, 0, 
5, Bosse, 3, 11, 7, 100.0%, 2.86, 1, 1, 3, 2, 0, 3, 4, 2, 57.1%, 0.0%, 28.6%, 0.7, 2.3, 0.0, 0.7, 0, 0, 
6, Boerme, 4, 55, 7, 42.9%, 1.14, 0, 1, 2, 0, 4, 4, 3, -4, 42.9%, 57.1%, 0.0%, 0.0, 1.8, 1.0, -1.0, 2, 2, 
7, Bo, 4, 15, 7, 85.7%, 2.00, 1, 2, 3, 0, 1, 4, 3, -1, 42.9%, 14.3%, 0.0%, 0.0, 1.8, 0.3, -0.3, 1, 0, 
9, Soeren, 5, 72, 12, 83.3%, 2.17, 2, 2, 4, 2, 2, 10, 2, 0, 16.7%, 16.7%, 16.7%, 0.4, 2.4, 0.4, 0.0, 1, 1, 
11, Nicola, 5, 93, 19, 89.5%, 1.53, 8, 6, 3, 0, 2, 10, 9, -2, 47.4%, 10.5%, 0.0%, 0.0, 3.8, 0.4, -0.4, 1, 1, 
12, Vestbjerg, 3, 33, 3, 66.7%, 1.67, 0, 1, 1, 0, 1, 2, 1, -1, 33.3%, 33.3%, 0.0%, 0.0, 1.0, 0.3, -0.3, 1, 0, 
13, Gustav, 5, 66, 16, 100.0%, 2.00, 6, 4, 4, 1, 0, 10, 6, 1, 37.5%, 0.0%, 6.3%, 0.2, 3.2, 0.0, 0.2, 0, 0, 
16, Alex, 5, 38, 0, -, -, 0, 0, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 0.0, 0.0, 0.0, 0, 0, 
undefined, (team), 5, 0, 0, -, -, 0, 0, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 0.0, 0.0, 0.0, 0, 0, 
Total, , , , 108, 88.0%, 1.89, 27, 34, 25, 8, 13, 60, 48, -5, 44.4%, 12.0%, 7.4%, 1.6, 21.6, 2.6, -1.0, 7, 6, 

Player Number, Player Name, Games Played, Points Played, Got Aced/Game, Passes/Game, Perfect Passes/Game, Pass Rating, Total Pass Error %, 3-pass Percent, Pass Attempts, 1-pass, 2-pass, 3-pass, Over the Net Pass, Got Aced, Total Pass Errors, First Ball Side Out %, 
1, Lasse Nielsen, 5, 243, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
3, Kristian Krag, 4, 29, 0.0, 0.3, 0.0, 2.00, 0.0%, 0.0%, 1, 0, 1, 0, 0, 0, 0, 100.0%, 
5, Bosse, 3, 11, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
6, Boerme, 4, 55, 0.8, 4.8, 1.0, 1.77, 13.6%, 18.2%, 22, 3, 12, 4, 0, 3, 3, 33.3%, 
7, Bo, 4, 15, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
9, Soeren, 5, 72, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, 0.0%, 
11, Nicola, 5, 93, 0.0, 4.2, 1.0, 2.02, 0.0%, 23.8%, 21, 3, 12, 5, 1, 0, 0, 26.9%, 
12, Vestbjerg, 3, 33, 0.7, 4.7, 1.0, 1.59, 12.5%, 18.8%, 16, 4, 6, 3, 1, 2, 2, 33.3%, 
13, Gustav, 5, 66, 0.0, 0.4, 0.4, 3.00, 0.0%, 100.0%, 2, 0, 0, 2, 0, 0, 0, 0.0%, 
16, Alex, 5, 38, 0.4, 2.6, 0.8, 1.73, 13.3%, 26.7%, 15, 4, 5, 4, 0, 2, 2, 19.0%, 
undefined, (team), 5, 0, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
Total, , , , 1.4, 14.0, 3.6, 1.83, 9.1%, 23.4%, 77, 14, 36, 18, 2, 7, 7, 27.8%, 

Player Number, Player Name, Games Played, Points Played, Kills/Game, Attack Errors/Game, Attack Net Points/Game, Hitting Efficiency, Kill %, Attack Error %, Attack Attempts, Attack Errors, Kills, Errors: Out, Errors: Blocked, Errors: Into Net, 
1, Lasse Nielsen, 5, 243, 0.6, 0.2, 0.4, 0.333, 50.0%, 16.7%, 6, 1, 3, 1, 0, 0, 
3, Kristian Krag, 4, 29, 0.0, 0.0, 0.0, 0.000, 0.0%, 0.0%, 2, 0, 0, 0, 0, 0, 
5, Bosse, 3, 11, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 
6, Boerme, 4, 55, 2.5, 1.3, 1.3, 0.208, 41.7%, 20.8%, 24, 5, 10, 2, 2, 1, 
7, Bo, 4, 15, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 
9, Soeren, 5, 72, 3.4, 1.6, 1.8, 0.214, 40.5%, 19.0%, 42, 8, 17, 3, 5, 0, 
11, Nicola, 5, 93, 2.8, 1.6, 1.2, 0.176, 41.2%, 23.5%, 34, 8, 14, 4, 3, 1, 
12, Vestbjerg, 3, 33, 0.3, 2.0, -1.7, -0.455, 9.1%, 54.5%, 11, 6, 1, 0, 5, 1, 
13, Gustav, 5, 66, 0.8, 0.4, 0.4, 0.118, 23.5%, 11.8%, 17, 2, 4, 1, 1, 0, 
16, Alex, 5, 38, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 
undefined, (team), 5, 0, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 
Total, , , , 9.8, 6.0, 3.8, 0.140, 36.0%, 22.1%, 136, 30, 49, 11, 16, 3, 

Player Number, Player Name, Games Played, Points Played, Dig Errors/Game, Dig Attempts/Game, Digs/Game, Digs, Dig Attempts, Dig Errors, Dig Error %, Dig %, Kill to Dig %, Attack Attempt to Dig %, 
1, Lasse Nielsen, 5, 243, 0.4, 1.8, 1.4, 7, 9, 2, 22.2%, 77.8%, 42.9%, 100.0%, 
3, Kristian Krag, 4, 29, 0.3, 1.0, 0.8, 3, 4, 1, 25.0%, 75.0%, 33.3%, 100.0%, 
5, Bosse, 3, 11, 0.3, 0.7, 0.3, 1, 2, 1, 50.0%, 50.0%, 0.0%, 100.0%, 
6, Boerme, 4, 55, 0.3, 1.5, 1.3, 5, 6, 1, 16.7%, 83.3%, 0.0%, 80.0%, 
7, Bo, 4, 15, 0.3, 0.5, 0.3, 1, 2, 1, 50.0%, 50.0%, 100.0%, 100.0%, 
9, Soeren, 5, 72, 0.2, 2.0, 1.8, 9, 10, 1, 10.0%, 90.0%, 44.4%, 100.0%, 
11, Nicola, 5, 93, 0.4, 1.2, 0.8, 4, 6, 2, 33.3%, 66.7%, 25.0%, 75.0%, 
12, Vestbjerg, 3, 33, 0.0, 0.7, 0.7, 2, 2, 0, 0.0%, 100.0%, 100.0%, 100.0%, 
13, Gustav, 5, 66, 0.2, 0.6, 0.4, 2, 3, 1, 33.3%, 66.7%, 0.0%, 50.0%, 
16, Alex, 5, 38, 0.6, 3.0, 2.4, 12, 15, 3, 20.0%, 80.0%, 25.0%, 83.3%, 
undefined, (team), 5, 0, 0.0, 0.0, 0.0, 0, 0, 0, -, -, -, -, 
Total, , , , 2.6, 11.8, 9.2, 46, 59, 13, 22.0%, 78.0%, 32.6%, 89.1%, 

Player Number, Player Name, Games Played, Points Played, Block Errors/Game, Blocks Still in Play/Game, Blocks/Game, Block Assists, Block Errors, Block Solos, Blocks Still in Play, Blocks, Net Blocks, Block %, Block Error %, 
1, Lasse Nielsen, 5, 243, 0.0, 0.8, 1.0, 2, 0, 3, 4, 5, 5, 55.6%, 0.0%, 
3, Kristian Krag, 4, 29, 0.5, 0.3, 0.3, 0, 2, 1, 1, 1, -1, 25.0%, 50.0%, 
5, Bosse, 3, 11, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, -, -, 
6, Boerme, 4, 55, 0.0, 0.0, 0.3, 1, 0, 0, 0, 1, 1, 100.0%, 0.0%, 
7, Bo, 4, 15, 0.0, 0.0, 0.3, 1, 0, 0, 0, 1, 1, 100.0%, 0.0%, 
9, Soeren, 5, 72, 0.2, 0.6, 0.8, 4, 1, 0, 3, 4, 3, 50.0%, 12.5%, 
11, Nicola, 5, 93, 0.2, 0.2, 1.0, 3, 1, 2, 1, 5, 4, 71.4%, 14.3%, 
12, Vestbjerg, 3, 33, 0.7, 0.0, 0.0, 0, 2, 0, 0, 0, -2, 0.0%, 100.0%, 
13, Gustav, 5, 66, 0.2, 0.4, 2.6, 9, 1, 4, 2, 13, 12, 81.3%, 6.3%, 
16, Alex, 5, 38, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, -, -, 
undefined, (team), 5, 0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, -, -, 
Total, , , , 1.4, 2.2, 4.0, 20, 7, 10, 11, 20, 13, 62.5%, 14.6%, 

Player Number, Player Name, Games Played, Points Played, Games Played as Non-setter, Games Played as Setter, Assists, Ball Handling, Setting Errors, Assists as Non-setter, Assists as Non-setter/Game, Assists as Setter, Assists as Setter/Game, Assists/Game, Attempt (From Setter), Attempt (Not From Setter), 
1, Lasse Nielsen, 5, 243, 0, 5, 43, 0, 0, 0, -, 43, 8.6, 8.6, 0, 2, 
3, Kristian Krag, 4, 29, 4, 0, 0, 0, 0, 0, -, 0, -, 0.0, 2, 0, 
5, Bosse, 3, 11, 3, 0, 0, 0, 0, 0, -, 0, -, 0.0, 0, 0, 
6, Boerme, 4, 55, 4, 0, 1, 0, 0, 1, 0.3, 0, -, 0.3, 8, 1, 
7, Bo, 4, 15, 4, 0, 0, 0, 0, 0, -, 0, -, 0.0, 0, 0, 
9, Soeren, 5, 72, 5, 0, 0, 0, 0, 0, -, 0, -, 0.0, 14, 3, 
11, Nicola, 5, 93, 5, 0, 2, 0, 0, 2, 0.4, 0, -, 0.4, 8, 4, 
12, Vestbjerg, 3, 33, 3, 0, 0, 0, 0, 0, -, 0, -, 0.0, 3, 1, 
13, Gustav, 5, 66, 5, 0, 1, 0, 0, 1, 0.2, 0, -, 0.2, 10, 1, 
16, Alex, 5, 38, 5, 0, 1, 0, 0, 1, 0.2, 0, -, 0.2, 0, 0, 
undefined, (team), 5, 0, 5, 0, 0, 0, 0, 0, -, 0, -, 0.0, 0, 0, 
Total, , , , 5, 0, 48, 0, 0, 5, 1.0, 43, -, 9.6, 45, 12, 

Player Number, Player Name, Games Played, Points Played, 1-Set (In-System), 2-Set (In-System), 3-Set (In-System), 1-Set (Out-System), 2-Set (Out-System), 3-Set (Out-System), 
1, Lasse Nielsen, 5, 243, 0, 0, 0, 0, 0, 0, 
