Player Number, Player Name, Games Played, Points Played, Earned/Game, Errors/Game, Faults/Game, Total/Game, Plus/Minus Total, Plus/Minus Net Total, Total Earned, Total Errors, Total Faults, Total Earned (them), Total Errors (them), Total Faults (them), 
4, Andreas Christensen, 3, 28, 3.0, 0.3, 0.0, 2.7, 8, 8, 9, 1, 0, 0, 0, 0, 
5, Bosse, 3, 34, 0.0, 0.3, 0.0, -0.3, -1, -1, 0, 1, 0, 0, 0, 0, 
7, Bo, 2, 4, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 
11, Nicola, 3, 57, 1.3, 2.0, 0.0, -0.7, -2, -2, 4, 6, 0, 0, 0, 0, 
13, Gustav, 3, 34, 2.0, 1.0, 0.0, 1.0, 3, 3, 6, 3, 0, 0, 0, 0, 
15, Martin, 3, 52, 4.3, 3.3, 0.0, 1.0, 3, 3, 13, 10, 0, 0, 0, 0, 
16, Alex, 3, 163, 0.7, 2.0, 0.0, -1.3, -4, -4, 2, 6, 0, 0, 0, 0, 
17, Hjorth, 3, 69, 4.3, 1.0, 0.0, 3.7, 11, 11, 14, 3, 0, 0, 0, 0, 
undefined, (team), 3, 0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 
Total, , , , 15.7, 10.0, 0.0, 5.7, 17, 17, 47, 30, 0, 0, 0, 0, 

Player Number, Player Name, Games Played, Points Played, Serve Attempts, Serve %, Serve Rating, 1-Serve, 2-Serve, 3-Serve, Aces, Serve Errors, Points Lost on Serve, Points Won on Serve, Serve Net Points, Point Scoring %, Serve Error %, Ace %, Aces/Game, Serve Attempts/Game, Serve Errors/Game, Serve Net Points/Game, Errors: Out, Errors: Into Net, 
4, Andreas Christensen, 3, 28, 10, 100.0%, 2.10, 2, 6, 1, 1, 0, 7, 3, 1, 30.0%, 0.0%, 10.0%, 0.3, 3.3, 0.0, 0.3, 0, 0, 
5, Bosse, 3, 34, 0, -, -, 0, 0, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 0.0, 0.0, 0.0, 0, 0, 
7, Bo, 2, 4, 2, 100.0%, 1.00, 2, 0, 0, 0, 0, 2, 0, 0, 0.0%, 0.0%, 0.0%, 0.0, 1.0, 0.0, 0.0, 0, 0, 
11, Nicola, 3, 57, 11, 90.9%, 1.91, 3, 3, 4, 0, 1, 7, 4, -1, 36.4%, 9.1%, 0.0%, 0.0, 3.7, 0.3, -0.3, 0, 1, 
13, Gustav, 3, 34, 12, 83.3%, 1.25, 7, 2, 0, 1, 2, 7, 5, -1, 41.7%, 16.7%, 8.3%, 0.3, 4.0, 0.7, -0.3, 1, 1, 
15, Martin, 3, 52, 8, 50.0%, 1.00, 2, 0, 2, 0, 4, 6, 2, -4, 25.0%, 50.0%, 0.0%, 0.0, 2.7, 1.3, -1.3, 2, 2, 
16, Alex, 3, 163, 12, 91.7%, 1.83, 3, 6, 1, 1, 1, 10, 2, 0, 16.7%, 8.3%, 8.3%, 0.3, 4.0, 0.3, 0.0, 1, 0, 
17, Hjorth, 3, 69, 13, 84.6%, 2.31, 1, 3, 5, 2, 2, 9, 4, 0, 30.8%, 15.4%, 15.4%, 0.7, 4.3, 0.7, 0.0, 1, 1, 
undefined, (team), 3, 0, 0, -, -, 0, 0, 0, 0, 0, 0, 0, 0, -, -, -, 0.0, 0.0, 0.0, 0.0, 0, 0, 
Total, , , , 68, 85.3%, 1.75, 20, 20, 13, 5, 10, 48, 20, -5, 29.4%, 14.7%, 7.4%, 1.7, 22.7, 3.3, -1.7, 5, 5, 

Player Number, Player Name, Games Played, Points Played, Got Aced/Game, Passes/Game, Perfect Passes/Game, Pass Rating, Total Pass Error %, 3-pass Percent, Pass Attempts, 1-pass, 2-pass, 3-pass, Over the Net Pass, Got Aced, Total Pass Errors, First Ball Side Out %, 
4, Andreas Christensen, 3, 28, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
5, Bosse, 3, 34, 0.3, 7.0, 1.3, 1.80, 4.5%, 18.2%, 22, 5, 11, 4, 1, 1, 1, 38.1%, 
7, Bo, 2, 4, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
11, Nicola, 3, 57, 0.3, 6.0, 1.3, 2.00, 5.3%, 21.1%, 19, 2, 12, 4, 0, 1, 1, 50.0%, 
13, Gustav, 3, 34, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
15, Martin, 3, 52, 0.0, 0.3, 0.0, 2.00, 0.0%, 0.0%, 1, 0, 1, 0, 0, 0, 0, 0.0%, 
16, Alex, 3, 163, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 0, -, 
17, Hjorth, 3, 69, 0.0, 7.0, 4.0, 2.43, 0.0%, 57.1%, 21, 3, 6, 12, 0, 0, 0, 42.9%, 
undefined, (team), 3, 0, 0.7, 0.0, 0.0, 0.00, 100.0%, 0.0%, 2, 0, 0, 0, 0, 2, 2, -, 
Total, , , , 1.3, 20.3, 6.7, 2.01, 6.2%, 30.8%, 65, 10, 30, 20, 1, 4, 4, 42.6%, 

Player Number, Player Name, Games Played, Points Played, Kills/Game, Attack Errors/Game, Attack Net Points/Game, Hitting Efficiency, Kill %, Attack Error %, Attack Attempts, Attack Errors, Kills, Errors: Out, Errors: Blocked, Errors: Into Net, 
4, Andreas Christensen, 3, 28, 2.0, 0.3, 1.7, 0.714, 85.7%, 14.3%, 7, 1, 6, 0, 1, 0, 
5, Bosse, 3, 34, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 
7, Bo, 2, 4, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 
11, Nicola, 3, 57, 1.3, 1.3, 0.0, 0.000, 23.5%, 23.5%, 17, 4, 4, 0, 3, 1, 
13, Gustav, 3, 34, 1.3, 0.3, 1.0, 0.273, 36.4%, 9.1%, 11, 1, 4, 1, 0, 0, 
15, Martin, 3, 52, 4.3, 1.7, 2.7, 0.229, 37.1%, 14.3%, 35, 5, 13, 2, 1, 2, 
16, Alex, 3, 163, 0.3, 0.3, 0.0, 0.000, 33.3%, 33.3%, 3, 1, 1, 0, 1, 0, 
17, Hjorth, 3, 69, 3.7, 0.3, 3.3, 0.333, 36.7%, 3.3%, 30, 1, 11, 0, 1, 0, 
undefined, (team), 3, 0, 0.0, 0.0, 0.0, -, -, -, 0, 0, 0, 0, 0, 0, 
